Country,Type,Value,ISO-code
Canada,Fertility,15,CAN
Cape Verde,Fertility,23,CPV
Central African Republic,Fertility,47,CAF
Chad,Fertility,57,TCD
Chile,Fertility,16,CHL
China,Fertility,17,CHN
Colombia,Fertility,18,COL
Comoros,Fertility,42,COM
Costa Rica,Fertility,18,CRI
Croatia,Fertility,15,HRV
Cuba,Fertility,16,CUB
Cyprus,Fertility,13,CYP
Czech Republic,Fertility,17,CZE
Democratic Republic of the Congo,Fertility,59,COD
Denmark,Fertility,17,DNK
Djibouti,Fertility,27,DJI
Dominican Republic,Fertility,23,DOM
East Timor,Fertility,40,TLS
Ecuador,Fertility,24,ECU
Egypt,Fertility,33,EGY
El Salvador,Fertility,20,SLV
Equatorial Guinea,Fertility,45,GNQ
Eritrea,Fertility,41,ERI
Estonia,Fertility,17,EST
Eswatini,Fertility,30,SWZ
Ethiopia,Fertility,42,ETH
Fiji,Fertility,28,FJI
Finland,Fertility,14,FIN
France,Fertility,19,FRA
Gabon,Fertility,40,GAB
Georgia,Fertility,21,GEO
Germany,Fertility,16,DEU
Ghana,Fertility,39,GHA
Greece,Fertility,14,GRC
Greenland,Fertility,20,GRL
Grenada,Fertility,21,GRD
Guatemala,Fertility,29,GTM
Guinea,Fertility,45,GIN
Guyana,Fertility,25,GUY
Haiti,Fertility,29,HTI
Honduras,Fertility,25,HND
Hong Kong,Fertility,11,HKG
Hungary,Fertility,16,HUN
Iceland,Fertility,17,ISL
India,Fertility,22,IND
Indonesia,Fertility,23,IDN
Iran,Fertility,29,IRN
Iraq,Fertility,37,IRQ
Ireland,Fertility,18,IRL
Israel,Fertility,24,ISR
Italy,Fertility,13,ITA
Ivory Coast,Fertility,46,CIV
Jamaica,Fertility,20,JAM
Japan,Fertility,14,JPN
Jordan,Fertility,28,JOR
Kazakhstan,Fertility,28,KAZ
Kenya,Fertility,35,KEN
Kiribati,Fertility,36,KIR
Kuwait,Fertility,21,KWT
Kyrgyzstan,Fertility,33,KGZ
Laos,Fertility,27,LAO
Latvia,Fertility,16,LVA
Lebanon,Fertility,21,LBN
Lesotho,Fertility,31,LSO
Liberia,Fertility,43,LBR
Libya,Fertility,22,LBY
Liechtenstein,Fertility,16,LIE
Lithuania,Fertility,16,LTU
Luxembourg,Fertility,14,LUX
Madagascar,Fertility,41,MDG
Malawi,Fertility,42,MWI
Malaysia,Fertility,20,MYS
Mali,Fertility,59,MLI
