Country,Type,Value,ISO-code
Ghana,GDP per capita,7343,GHA
Greece,GDP per capita,31616,GRC
Greenland,GDP per capita,48182,GRL
Grenada,GDP per capita,17434,GRD
Guatemala,GDP per capita,9009,GTM
Guinea,GDP per capita,2113,GIN
Guyana,GDP per capita,17163,GUY
Haiti,GDP per capita,1916,HTI
Honduras,GDP per capita,5600,HND
Hong Kong,GDP per capita,66527,HKG
Hungary,GDP per capita,35941,HUN
Iceland,GDP per capita,56974,ISL
India,GDP per capita,9027,IND
Indonesia,GDP per capita,14841,IDN
Iran,GDP per capita,17832,IRN
Iraq,GDP per capita,18755,IRQ
Ireland,GDP per capita,86988,IRL
Israel,GDP per capita,40337,ISR
Italy,GDP per capita,41582,ITA
Ivory Coast,GDP per capita,4754,CIV
Jamaica,GDP per capita,9932,JAM
Japan,GDP per capita,46827,JPN
Jordan,GDP per capita,9939,JOR
Kazakhstan,GDP per capita,30178,KAZ
Kenya,GDP per capita,4078,KEN
Kiribati,GDP per capita,2193,KIR
Kuwait,GDP per capita,67891,KWT
Kyrgyzstan,GDP per capita,4193,KGZ
Laos,GDP per capita,8684,LAO
Latvia,GDP per capita,32987,LVA
Lebanon,GDP per capita,15599,LBN
Lesotho,GDP per capita,3655,LSO
Liberia,GDP per capita,1428,LBR
Libya,GDP per capita,9446,LBY
Liechtenstein,GDP per capita,,LIE
Lithuania,GDP per capita,38751,LTU
Luxembourg,GDP per capita,112045,LUX
Madagascar,GDP per capita,1776,MDG
Malawi,GDP per capita,1292,MWI
Malaysia,GDP per capita,34567,MYS
Mali,GDP per capita,2569,MLI
Malta,GDP per capita,49589,MLT
Marshall Islands,GDP per capita,3972,MHL
Mauritania,GDP per capita,5158,MRT
Mauritius,GDP per capita,26461,MUS
Mexico,GDP per capita,21363,MEX
Micronesia,GDP per capita,3657,FSM
Moldova,GDP per capita,8161,MDA
Mongolia,GDP per capita,15089,MNG
Montenegro,GDP per capita,21977,MNE
Morocco,GDP per capita,9667,MAR
Mozambique,GDP per capita,1372,MOZ
Myanmar,GDP per capita,7220,MMR
Namibia,GDP per capita,11451,NAM
Nepal,GDP per capita,3550,NPL
Netherlands,GDP per capita,60299,NLD
New Zealand,GDP per capita,42045,NZL
Nicaragua,GDP per capita,5297,NIC
Niger,GDP per capita,1152,NER
Nigeria,GDP per capita,6172,NGA
North Macedonia,GDP per capita,17378,MKD
Norway,GDP per capita,79638,NOR
Oman,GDP per capita,48593,OMN
Pakistan,GDP per capita,6016,PAK
Palau,GDP per capita,16855,PLW
Palestine,GDP per capita,,PSE
Panama,GDP per capita,28456,PAN
Papua New Guinea,GDP per capita,4081,PNG
Paraguay,GDP per capita,13213,PRY
Peru,GDP per capita,15399,PER
Philippines,GDP per capita,10094,PHL
Poland,GDP per capita,35651,POL
Portugal,GDP per capita,34936,PRT
Republic of the Congo,GDP per capita,7336,COG
Romania,GDP per capita,29555,ROU
Russia,GDP per capita,30820,RUS
Rwanda,GDP per capita,2642,RWA
Saint Kitts and Nevis,GDP per capita,31950,KNA
Saint Lucia,GDP per capita,15159,LCA
Saint Vincent and the Grenadines,GDP per capita,12983,VCT
Samoa,GDP per capita,6493,WSM
Sao Tome and Principe,GDP per capita,,STP
Saudi Arabia,GDP per capita,56912,SAU
Senegal,GDP per capita,4079,SEN
Serbia,GDP per capita,19767,SRB
Seychelles,GDP per capita,33118,SYC
Sierra Leone,GDP per capita,1765,SLE
Singapore,GDP per capita,105689,SGP
Slovakia,GDP per capita,38321,SVK
Slovenia,GDP per capita,40344,SVN
Solomon Islands,GDP per capita,2363,SLB
Somalia,GDP per capita,314.5,SOM
South Africa,GDP per capita,13965,ZAF
South Sudan,GDP per capita,1715,SSD
Spain,GDP per capita,43007,ESP
Sri Lanka,GDP per capita,14509,LKA
Sudan,GDP per capita,3986,SDN
Suriname,GDP per capita,16044,SUR
Sweden,GDP per capita,55989,SWE
Syria,GDP per capita,,SYR
Tajikistan,GDP per capita,3751,TJK
Tanzania,GDP per capita,3652,TZA
Thailand,GDP per capita,21361,THA
The Bahamas,GDP per capita,33432,BHS
The Gambia,GDP per capita,2892,GMB
Togo,GDP per capita,1913,TGO
Tonga,GDP per capita,6867,TON
Trinidad and Tobago,GDP per capita,33713,TTO
Tunisia,GDP per capita,13093,TUN
Turkey,GDP per capita,29327,TUR
Turkmenistan,GDP per capita,21855,TKM
Uganda,GDP per capita,2753,UGA
Ukraine,GDP per capita,10130,UKR
United Arab Emirates,GDP per capita,70441,ARE
United Kingdom,GDP per capita,48169,GBR
United States,GDP per capita,67426,USA
Uruguay,GDP per capita,24516,URY
Uzbekistan,GDP per capita,9595,UZB
Vanuatu,GDP per capita,3039,VUT
Venezuela,GDP per capita,16055,VEN
Vietnam,GDP per capita,8677,VNM
Yemen,GDP per capita,2312,YEM
Zambia,GDP per capita,4174,ZMB
Zimbabwe,GDP per capita,2778,ZWE
Afghanistan,Fertility,4.5,AFG
Algeria,Fertility,3,DZA
Andorra,Fertility,1.3,AND
Angola,Fertility,5.5,AGO
Antigua and Barbuda,Fertility,2,ATG
Argentina,Fertility,2.3,ARG
Armenia,Fertility,1.8,ARM
Australia,Fertility,1.7,AUS
Austria,Fertility,1.5,AUT
Azerbaijan,Fertility,1.7,AZE
Bahrain,Fertility,2,BHR
Bangladesh,Fertility,2,BGD
Barbados,Fertility,1.6,BRB
Belarus,Fertility,1.4,BLR
Belgium,Fertility,1.6,BEL
Belize,Fertility,2.3,BLZ
Benin,Fertility,4.8,BEN
Bhutan,Fertility,2,BTN
Bolivia,Fertility,2.7,BOL
Bosnia and Herzegovina,Fertility,1.3,BIH
Botswana,Fertility,2.9,BWA
Brazil,Fertility,1.7,BRA
Brunei,Fertility,1.8,BRN
Bulgaria,Fertility,1.6,BGR
Burkina Faso,Fertility,5.2,BFA
Burundi,Fertility,5.4,BDI
Cambodia,Fertility,2.5,KHM
Cameroon,Fertility,4.6,CMR
Canada,Fertility,1.5,CAN
Cape Verde,Fertility,2.3,CPV
Central African Republic,Fertility,4.7,CAF
Chad,Fertility,5.7,TCD
Chile,Fertility,1.6,CHL
China,Fertility,1.7,CHN
Colombia,Fertility,1.8,COL
Comoros,Fertility,4.2,COM
Costa Rica,Fertility,1.8,CRI
Croatia,Fertility,1.5,HRV
Cuba,Fertility,1.6,CUB
Cyprus,Fertility,1.3,CYP
Czech Republic,Fertility,1.7,CZE
Democratic Republic of the Congo,Fertility,5.9,COD
Denmark,Fertility,1.7,DNK
Djibouti,Fertility,2.7,DJI
Dominican Republic,Fertility,2.3,DOM
East Timor,Fertility,4,TLS
Ecuador,Fertility,2.4,ECU
Egypt,Fertility,3.3,EGY
El Salvador,Fertility,2,SLV
Equatorial Guinea,Fertility,4.5,GNQ
Eritrea,Fertility,4.1,ERI
Estonia,Fertility,1.7,EST
Eswatini,Fertility,3,SWZ
Ethiopia,Fertility,4.2,ETH
Fiji,Fertility,2.8,FJI
Finland,Fertility,1.4,FIN
France,Fertility,1.9,FRA
Gabon,Fertility,4,GAB
Georgia,Fertility,2.1,GEO
Germany,Fertility,1.6,DEU
Ghana,Fertility,3.9,GHA
Greece,Fertility,1.4,GRC
Greenland,Fertility,2,GRL
Grenada,Fertility,2.1,GRD
Guatemala,Fertility,2.9,GTM
Guinea,Fertility,4.5,GIN
Guyana,Fertility,2.5,GUY
Haiti,Fertility,2.9,HTI
Honduras,Fertility,2.5,HND
Hong Kong,Fertility,1.1,HKG
Hungary,Fertility,1.6,HUN
Iceland,Fertility,1.7,ISL
India,Fertility,2.2,IND
Indonesia,Fertility,2.3,IDN
Iran,Fertility,2.9,IRN
Iraq,Fertility,3.7,IRQ
Ireland,Fertility,1.8,IRL
Israel,Fertility,2.4,ISR
Italy,Fertility,1.3,ITA
Ivory Coast,Fertility,4.6,CIV
Jamaica,Fertility,2,JAM
Japan,Fertility,1.4,JPN
Jordan,Fertility,2.8,JOR
Kazakhstan,Fertility,2.8,KAZ
Kenya,Fertility,3.5,KEN
Kiribati,Fertility,3.6,KIR
Kuwait,Fertility,2.1,KWT
Kyrgyzstan,Fertility,3.3,KGZ
Laos,Fertility,2.7,LAO
Latvia,Fertility,1.6,LVA
Lebanon,Fertility,2.1,LBN
Lesotho,Fertility,3.1,LSO
Liberia,Fertility,4.3,LBR
Libya,Fertility,2.2,LBY
Liechtenstein,Fertility,1.6,LIE
Lithuania,Fertility,1.6,LTU
Luxembourg,Fertility,1.4,LUX
Madagascar,Fertility,4.1,MDG
Malawi,Fertility,4.2,MWI
Malaysia,Fertility,2,MYS
Mali,Fertility,5.9,MLI
Malta,Fertility,1.2,MLT
Marshall Islands,Fertility,4,MHL
Mauritania,Fertility,4.6,MRT
Mauritius,Fertility,1.4,MUS
Mexico,Fertility,2.1,MEX
Micronesia,Fertility,3.1,FSM
Moldova,Fertility,1.3,MDA
Mongolia,Fertility,2.9,MNG
Montenegro,Fertility,1.7,MNE
Morocco,Fertility,3.1,MAR
Mozambique,Fertility,4.9,MOZ
Myanmar,Fertility,2.2,MMR
Namibia,Fertility,3.4,NAM
Nepal,Fertility,1.9,NPL
Netherlands,Fertility,1.6,NLD
New Zealand,Fertility,1.7,NZL
Nicaragua,Fertility,2.4,NIC
Niger,Fertility,5.3,NER
Nigeria,Fertility,5.4,NGA
North Macedonia,Fertility,1.5,MKD
Norway,Fertility,1.6,NOR
Oman,Fertility,2.9,OMN
Pakistan,Fertility,3.5,PAK
Palau,Fertility,2.2,PLW
Palestine,Fertility,,PSE
Panama,Fertility,2.5,PAN
Papua New Guinea,Fertility,3.6,PNG
Paraguay,Fertility,2.4,PRY
Peru,Fertility,2.3,PER
Philippines,Fertility,2.6,PHL
Poland,Fertility,1.5,POL
Portugal,Fertility,1.4,PRT
Republic of the Congo,Fertility,4.4,COG
Romania,Fertility,1.8,ROU
Russia,Fertility,1.82,RUS
Rwanda,Fertility,4,RWA
Saint Kitts and Nevis,Fertility,,KNA
Saint Lucia,Fertility,,LCA
Saint Vincent and the Grenadines,Fertility,,VCT
Samoa,Fertility,3.9,WSM
Sao Tome and Principe,Fertility,4.3,STP
Saudi Arabia,Fertility,2.3,SAU
Senegal,Fertility,4.6,SEN
Serbia,Fertility,1.5,SRB
Seychelles,Fertility,2.4,SYC
Sierra Leone,Fertility,4.3,SLE
Singapore,Fertility,1.1,SGP
Slovakia,Fertility,,SVK
Slovenia,Fertility,1.6,SVN
Solomon Islands,Fertility,4.4,SLB
Somalia,Fertility,6.1,SOM
South Africa,Fertility,2.4,ZAF
South Sudan,Fertility,4.7,SSD
Spain,Fertility,1.3,ESP
Sri Lanka,Fertility,2.2,LKA
Sudan,Fertility,4.4,SDN
Suriname,Fertility,2.4,SUR
Sweden,Fertility,1.8,SWE
Syria,Fertility,2.8,SYR
Tajikistan,Fertility,3.6,TJK
